DATE,CC Volume
11/9/2019,179
11/10/2019,101
11/11/2019,610
11/12/2019,721
11/13/2019,620
11/14/2019,650
11/15/2019,589
11/16/2019,120
11/17/2019,114
11/18/2019,803
11/19/2019,668
11/20/2019,560
11/21/2019,733
11/22/2019,710
11/23/2019,88
11/24/2019,60
11/25/2019,739
11/26/2019,683
11/27/2019,499
11/28/2019,61
11/29/2019,327
11/30/2019,94
12/1/2019,94
12/2/2019,846
12/3/2019,805
12/4/2019,652
12/5/2019,671
12/6/2019,667
12/7/2019,130
12/8/2019,71
12/9/2019,831
12/10/2019,683
12/11/2019,615
12/12/2019,592
12/13/2019,636
12/14/2019,126
12/15/2019,112
12/16/2019,764
12/17/2019,645
12/18/2019,619
12/19/2019,626
12/20/2019,555
12/21/2019,106
12/22/2019,92
12/23/2019,564
12/24/2019,248
12/25/2019,44
12/26/2019,474
12/27/2019,403
12/28/2019,97
12/29/2019,54
12/30/2019,488
1/1/2020,66
1/2/2020,577
1/3/2020,542
1/4/2020,85
1/5/2020,53
1/6/2020,733
1/7/2020,676
1/8/2020,655
1/9/2020,580
1/10/2020,557
1/11/2020,90
1/12/2020,67
1/13/2020,739
1/14/2020,647
1/15/2020,680
1/16/2020,696
1/17/2020,653
1/18/2020,105
1/19/2020,63
1/20/2020,442
1/21/2020,701
1/22/2020,610
1/23/2020,636
1/24/2020,594
1/25/2020,97
1/26/2020,59
1/27/2020,718
1/28/2020,616
1/29/2020,598
1/30/2020,601
1/31/2020,660
2/1/2020,99
2/2/2020,52
2/3/2020,658
2/4/2020,682
2/5/2020,604
2/6/2020,633
2/7/2020,495
2/8/2020,114
2/9/2020,87
2/10/2020,639
2/11/2020,606
2/12/2020,595
2/13/2020,541
2/14/2020,516
2/15/2020,86
2/16/2020,69
2/17/2020,348
2/18/2020,678
2/19/2020,564
2/20/2020,569
2/21/2020,571
2/22/2020,314
2/23/2020,160
2/24/2020,651
2/25/2020,636
2/26/2020,536
2/27/2020,483
2/28/2020,517
2/29/2020,127
3/1/2020,77
3/2/2020,624
3/3/2020,574
3/4/2020,550
3/5/2020,563
3/6/2020,562
3/7/2020,115
3/8/2020,67
3/9/2020,616
3/10/2020,638
3/11/2020,502
3/12/2020,505
3/13/2020,514
3/14/2020,145
3/15/2020,113
3/16/2020,665
3/17/2020,603
3/18/2020,558
3/19/2020,633
3/20/2020,535
3/21/2020,103
3/22/2020,79
3/23/2020,633
3/24/2020,565
3/25/2020,428
3/26/2020,437
3/27/2020,447
3/28/2020,62
3/29/2020,68
3/30/2020,570
3/31/2020,501
4/1/2020,391
4/2/2020,367
4/3/2020,391
4/4/2020,75
4/5/2020,48
4/6/2020,457
4/7/2020,399
4/8/2020,383
4/9/2020,345
4/10/2020,318
4/11/2020,52
4/12/2020,23
4/13/2020,463
4/14/2020,411
4/15/2020,352
4/16/2020,383
4/17/2020,316
4/18/2020,52
4/19/2020,43
4/20/2020,382
4/21/2020,341
4/22/2020,305
4/23/2020,328
4/24/2020,311
4/25/2020,72
4/26/2020,46
4/27/2020,423
4/28/2020,341
4/29/2020,306
4/30/2020,339
5/1/2020,328
5/2/2020,56
5/3/2020,33
5/4/2020,393
5/5/2020,301
5/6/2020,316
5/7/2020,332
5/8/2020,260
5/9/2020,41
5/10/2020,36
5/11/2020,356
5/12/2020,302
5/13/2020,354
5/14/2020,313
5/15/2020,312
5/16/2020,40
5/17/2020,38
5/18/2020,420
5/19/2020,314
5/20/2020,334
5/21/2020,334
5/22/2020,322
5/23/2020,57
5/24/2020,29
5/25/2020,84
5/26/2020,373
5/27/2020,381
5/28/2020,338
5/29/2020,329
5/30/2020,60
5/31/2020,58
6/1/2020,422
6/2/2020,398
6/3/2020,481
6/4/2020,424
6/5/2020,411
6/6/2020,70
6/7/2020,58
6/8/2020,478
6/9/2020,422
6/10/2020,447
6/11/2020,365
6/12/2020,358
6/13/2020,66
6/14/2020,60
6/15/2020,517
6/16/2020,410
6/17/2020,373
6/18/2020,404
6/19/2020,341
6/20/2020,54
6/21/2020,55
6/22/2020,440
6/23/2020,404
6/24/2020,433
6/25/2020,405
6/26/2020,403
6/27/2020,68
6/28/2020,62
6/29/2020,446
6/30/2020,412
7/1/2020,357
7/2/2020,332
7/3/2020,172
7/4/2020,45
7/5/2020,34
7/6/2020,445
7/7/2020,422
7/8/2020,425
7/9/2020,347
7/10/2020,362
7/11/2020,64
7/12/2020,49
7/13/2020,424
7/14/2020,457
7/15/2020,398
7/16/2020,410
7/17/2020,379
7/18/2020,67
7/19/2020,46
7/20/2020,416
7/21/2020,380
7/22/2020,364
7/23/2020,338
7/24/2020,311
7/25/2020,65
7/26/2020,63
7/27/2020,391
7/28/2020,369
7/29/2020,438
7/30/2020,363
7/31/2020,369
8/1/2020,64
8/2/2020,37
8/3/2020,421
8/4/2020,325
8/5/2020,374
8/6/2020,316
8/7/2020,386
8/8/2020,80
8/9/2020,63
8/10/2020,442
8/11/2020,447
8/12/2020,389
8/13/2020,391
8/14/2020,290
8/15/2020,46
8/16/2020,47
8/17/2020,416
8/18/2020,396
8/19/2020,414
8/20/2020,418
8/21/2020,356
8/22/2020,78
8/23/2020,49
8/24/2020,452
8/25/2020,407
8/26/2020,409
8/27/2020,372
8/28/2020,310
8/29/2020,64
8/30/2020,30
8/31/2020,366
